university,code
i̇stanbul şehi̇r üni̇versi̇tesi̇,116
i̇stanbul şi̇şli̇ myo,117
i̇stanbul arel üniversitesi,94
i̇stanbul atlas üniversitesi,95
i̇stanbul aydın üniversitesi,96
i̇stanbul ayvansayar üniversitesi,97
i̇stanbul esenyurt üniversitesi,99
i̇stanbul galata üniversitesi,100
i̇stanbul gedik üniversitesi,101
i̇stanbul gelişim üniversitesi,102
i̇stanbul rumeli üniversitesi,108
i̇stanbul sağlık ve teknoloji üniversitesi,111
i̇stanbul yeni yüzyıl üniversitesi,114
i̇stinye ü.,118
i̇stinye üniversitesi,118
i̇stinye üniversitesi,118
i̇sti̇nye üni̇versi̇tesi̇,118
i̇sti̇nye üni̇versi̇tesi̇  (i̇ngilizce),118
i̇sti̇nye üni̇versi̇tesi̇ (i̇ngilizce),118
i̇yte,125
i̇zmir bakırçay ü.,120
i̇zmir bakırçay üniversitesi,120
i̇zmir demokrasi ü.,121
i̇zmir demokrasi üniversitesi,121
i̇zmir ekonomi ü.,122
i̇zmir ekonomi üniversitesi,122
i̇zmir kâtip çelebi ü.,123
i̇zmir kâtip çelebi üniversitesi,123
i̇zmir tınaztepe ü.,124
i̇zmir tınaztepe üniversitesi,124
i̇zmir yüksek teknoloji enstitüsü,125
i̇zmir bakırçay üniversitesi,120
i̇zmir demokrasi üniversitesi,121
i̇zmir tınaztepe üniversitesi,124
i̇zmi̇r ekonomi̇ üni̇versi̇tesi̇,122
i̇zmi̇r ekonomi̇ üni̇versi̇tesi̇  (i̇ngilizce),122
i̇zmi̇r ekonomi̇ üni̇versi̇tesi̇ (i̇ngilizce),122
i̇zmi̇r kavram myo,126
i̇zmi̇r tinaztepe üni̇versi̇tesi̇,124
i̇zmi̇r tinaztepe üni̇versi̇tesi̇***,124
kadir has ü.,127
kadir has üniversitesi,127
kadi̇r has üni̇versi̇tesi̇,127
kadi̇r has üni̇versi̇tesi̇  (i̇ngilizce),127
kadi̇r has üni̇versi̇tesi̇ (i̇ngilizce),127
kafkas ü.,128
kafkas üniversitesi,128
kafkas üniversitesi,128
kahramanmaraş sütçü i̇mam ü.,129
kahramanmaraş sütçü i̇mam üniversitesi,129
kahramanmaraş sütçü i̇mam üniversitesi,129
kapadokya ü.,130
kapadokya üniversitesi,130
kapadokya üni̇versi̇tesi̇,130
karabük ü.,131
karabük üniversitesi,131
karadeniz teknik ü.,132
karadeniz teknik üniversitesi,132
karamanoğlu mehmetbey ü.,133
karamanoğlu mehmetbey üniversitesi,133
karamanoğlu mehmetbey üniversitesi,133
kastamonu ü.,134
kastamonu üniversitesi,134
kayseri ü.,135
kayseri üniversitesi,135
kayseri üniversitesi,135
kibris ameri̇kan üni̇versi̇tesi̇,136
kibris bati üni̇versi̇tesi̇,137
kibris i̇li̇m üni̇versi̇tesi̇,138
kibris sağlik ve toplum bi̇li̇mleri̇ üni̇versi̇tesi̇,139
kibris sosyal bi̇li̇mler üni̇versi̇tesi̇,140
kilis 7 aralık ü.,141
kilis 7 aralık üniversitesi,141
kilis 7 aralık üniversitesi,141
kktc i̇stanbul tekni̇k üni̇versi̇tesi̇,142
kktc i̇stanbul tekni̇k üni̇versi̇tesi̇**,142
kktc orta doğu tekni̇k üni̇versi̇tesi̇,143
kktc orta doğu tekni̇k üni̇versi̇tesi̇**,143
kocaeli sağlık ve teknoloji ü.,144
kocaeli sağlık ve teknoloji üniversitesi,144
kocaeli ü.,145
kocaeli üniversitesi,145
kocaeli sağlık ve teknoloji üniversitesi,144
